id,fname,lname,email,birthdate,gender,ethnicity,veteran_status,disabled_status,international_student,aid_recipient,prior_intern,date_registration_recieved,date_registration_complete
463399,Jere,Atrill,jatrill3@auda.org.au,1/27/2003,Female,Hispanic or Latinx,No,No,No,Yes,No,8/3/2020,8/20/2020
463400,Montague,Buckley,mbuckley4@soup.io,8/4/2003,Female,Asian American or Asian,No,No,Yes,No,No,8/3/2020,8/17/2020
463401,Pattie,Petersen,ppetersen5@harvard.edu,3/22/2001,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/19/2020
463402,Ike,McCarroll,imccarroll6@qq.com,2/26/2002,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/5/2020
463403,Natty,Schulz,nschulz7@imdb.com,5/7/2002,Female,Middle Eastern,No,No,No,Yes,No,8/3/2020,8/8/2020
463404,Weider,Possel,wpossel8@infoseek.co.jp,9/11/2001,Male,Pacific Islander,No,No,No,Yes,No,8/3/2020,8/19/2020
463405,Tonye,Selesnick,tselesnick9@meetup.com,6/3/2003,Female,African American or Black,No,No,No,Yes,No,8/3/2020,8/7/2020
463406,Milli,O'Hara,moharaa@biglobe.ne.jp,1/5/2000,Male,Hispanic or Latinx,No,No,No,Yes,No,8/3/2020,8/6/2020
463407,Delano,Dodman,ddodmanb@macromedia.com,11/1/2000,Female,American Indian or Alaska Native,No,No,No,Yes,No,8/3/2020,8/15/2020
463408,Oby,Woosnam,owoosnamc@multiply.com,12/13/2000,Female,Asian American or Asian,No,No,No,Yes,No,8/3/2020,8/14/2020
463409,Darla,Willman,dwillmand@vkontakte.ru,9/8/2002,Female,African American or Black,No,No,No,No,No,8/3/2020,8/3/2020
463410,Ragnar,Peaddie,rpeaddiee@flavors.me,3/2/2002,Male,African American or Black,No,No,No,Yes,No,8/3/2020,8/12/2020
463411,Carmina,Becraft,cbecraftf@e-recht24.de,1/18/2002,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/16/2020
463412,Elyn,Mendel,emendelg@statcounter.com,7/18/2001,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/13/2020
463413,Elset,Maciak,emaciakh@umn.edu,7/20/2003,Male,African American or Black,No,No,No,Yes,No,8/3/2020,8/11/2020
463414,Elysia,Giacopelo,egiacopeloi@oaic.gov.au,11/26/2003,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/8/2020
463415,Natalina,Webben,nwebbenj@dedecms.com,4/6/2001,Female,Hispanic or Latinx,No,No,No,Yes,No,8/3/2020,8/16/2020
463416,Lucien,Widmoor,lwidmoork@yahoo.com,4/11/2000,Male,African American or Black,No,No,No,Yes,No,8/3/2020,8/11/2020
463417,Yance,Hollindale,yhollindalel@census.gov,10/3/2003,Male,African American or Black,No,No,No,Yes,No,8/3/2020,8/6/2020
463418,Roxanne,Baudy,rbaudym@ft.com,5/5/2001,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/12/2020
463419,Dian,Molyneux,dmolyneuxn@imageshack.us,12/1/2000,Male,American Indian or Alaska Native,No,No,No,Yes,No,8/3/2020,8/3/2020
463420,Kristoforo,Sheward,kshewardo@utexas.edu,2/7/2003,Male,Hispanic or Latinx,No,No,No,Yes,No,8/3/2020,8/5/2020
463421,Sheilah,Habeshaw,shabeshawp@globo.com,2/5/2002,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/14/2020
463422,Maryjane,Axelbey,maxelbeyq@sun.com,3/10/2003,Female,African American or Black,No,No,No,Yes,No,8/3/2020,8/10/2020
463423,Candy,Tebbit,ctebbitr@google.it,5/13/2003,Prefer not to say,Prefer not to say,No,No,No,Yes,No,8/3/2020,8/9/2020
463424,Randy,Bothen,rbothens@oracle.com,11/4/2002,Male,Middle Eastern,No,No,No,Yes,No,8/3/2020,8/19/2020
463425,Albert,Anthona,aanthonat@oakley.com,5/7/2001,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/18/2020
463426,Stormy,Fawlkes,sfawlkesu@godaddy.com,4/14/2003,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/17/2020
463427,Donovan,Kornalik,dkornalikv@tinyurl.com,4/2/2002,Male,African American or Black,No,No,No,Yes,No,8/3/2020,8/9/2020
463428,Hilda,Blenkiron,hblenkironw@deviantart.com,2/20/2002,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/13/2020
